ISSN(Online),ISSN(Print),journal
"
","1606999
",AADE editors' journal
"21625239
","0946354
",AANA journal
"
","0010197
",AANA journal
"
","2890909
",AANA journal
"
","0013854
",AANA journal
"
","0080810
",AANA journal
"
","044586X
",AANA journal
"
","0754463
",AANA journal
"
","0017604
",AANA journal
"
","0015148
",AANA journal
"
","0015156
",AANA journal
"
","0015164
",AANA journal
"13996576
","0015172
",AANA journal
"
","5152720
",AANA journal
"
","0015180
",AANA journal
"
","0227722
",AANA journal
"
",,AANA journal
"1734154X
","001527X
",AANA journal
"
","1471554
",AANA journal
"
","0015288
",AANA journal
"19303807
","3637425
",AANA journal
"
","2376261
",AANA journal
"
","3650820
",AANA journal
"19480989
","0014273
",Academy of Management journal. Academy of Management
"
","7715684
",Academy of Management journal. Academy of Management
"
","0015334
",Academy of Management journal. Academy of Management
"
","2365383
",Academy of Management journal. Academy of Management
"
","0651087
",Academy of Management journal. Academy of Management
"
","0015318
",Academy of Management journal. Academy of Management
"
",,Academy of Management journal. Academy of Management
"15728358
","0015342
",Academy of Management journal. Academy of Management
"18108296
","0135545
",Academy of Management journal. Academy of Management
"1784973X
","0015385
",Academy of Management journal. Academy of Management
"
","3024377
",Academy of Management journal. Academy of Management
"
","3024369
",Academy of Management journal. Academy of Management
"
","0015431
",Academy of Management journal. Academy of Management
"
","2314614
",Academy of Management journal. Academy of Management
"
","3737934
",Academy of Management journal. Academy of Management
"
","0015458
",Academy of Management journal. Academy of Management
"
","0015466
",Academy of Management journal. Academy of Management
"
","354950X
",Academy of Management journal. Academy of Management
"
","0015415
",Academy of Management journal. Academy of Management
"18054404
","0015423
",Academy of Management journal. Academy of Management
"
","0015482
",Academy of Management journal. Academy of Management
"
","3011860
",Academy of Management journal. Academy of Management
"
","0015504
",Academy of Management journal. Academy of Management
"22953337
","7843286
",Academy of Management journal. Academy of Management
"
","5677386
",Academy of Management journal. Academy of Management
"
","1209906
",Academy of Management journal. Academy of Management
"
","365110X
",Academy of Management journal. Academy of Management
"
","5677394
",Academy of Management journal. Academy of Management
"19382650
","0015547
",Academy of Management journal. Academy of Management
"
","3919706
",Academy of Management journal. Academy of Management
"
","3760189
",Academy of Management journal. Academy of Management
"16512057
","0015555
",Academy of Management journal. Academy of Management
"
","3658341
",Academy of Management journal. Academy of Management
"
","0651176
",Academy of Management journal. Academy of Management
"
","0015563
",Academy of Management journal. Academy of Management
"
","0651184
",Academy of Management journal. Academy of Management
"
","5677416
",Academy of Management journal. Academy of Management
"
","0015598
",Academy of Management journal. Academy of Management
"
","3009750
",Academy of Management journal. Academy of Management
"
","5872421
",Academy of Management journal. Academy of Management
"
","7843227
",Academy of Management journal. Academy of Management
"24691119
","3009033
",Academy of Management journal. Academy of Management
"
","5677440
",Academy of Management journal. Academy of Management
"
","0015660
",Academy of Management journal. Academy of Management
"
","0015741
",Academy of Management journal. Academy of Management
"
","0015776
",Academy of Management journal. Academy of Management
"
","0015784
",Academy of Management journal. Academy of Management
"14219662
","0015792
",Academy of Management journal. Academy of Management
"
","0015806
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0015814
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","300970X
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0651311
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"16180372
","0651281
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","001589X
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0015911
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0651362
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","076597X
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0015989
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"15632571
","3038173
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","3038181
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","2540819
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","5677734
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","8317445
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0016039
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","3758338
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0651397
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","0016055
",Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society
"
","2702304
",Family practice research journal
"
","2572788
",Family practice research journal
"14730766
","9513590
",Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology
"1873474X
","7365748
",International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience
"15448770
","8938652
",International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience
"17246083
","393974X
",International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience
"
","8843996
",International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience
"
","386300X
",International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience
"15234681
","8840431
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"20949278
","0016071
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","001608X
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"16460758
","870399X
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","0016101
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","365463X
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","0016136
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","0016187
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"26033755
","2048809
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","1371320
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","5677815
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","5677823
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","0016217
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","3240452
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","2365391
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","0016225
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"16890035
","0651400
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"09420940
","0016268
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
",,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
"
","0016276
",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research
